Code,Area,Year,Affordable Housing Supply
E09000027,Richmond upon Thames,2012-13,33
E09000028,Southwark,2012-13,483
E09000029,Sutton,2012-13,124
E09000030,Tower Hamlets,2012-13,449
E09000031,Waltham Forest,2012-13,324
E09000032,Wandsworth,2012-13,151
E09000033,Westminster,2012-13,88
E12000007,London,2012-13,"8,907"
E92000001,England,2012-13,"43,118"
E09000001,City of London,2013-14,20
E09000002,Barking and Dagenham,2013-14,518
E09000003,Barnet,2013-14,393
E09000004,Bexley,2013-14,96
E09000005,Brent,2013-14,277
E09000006,Bromley,2013-14,59
E09000007,Camden,2013-14,216
E09000008,Croydon,2013-14,360
E09000009,Ealing,2013-14,302
E09000010,Enfield,2013-14,130
E09000011,Greenwich,2013-14,655
E09000012,Hackney,2013-14,557
E09000013,Hammersmith and Fulham,2013-14,178
E09000014,Haringey,2013-14,155
E09000015,Harrow,2013-14,70
E09000016,Havering,2013-14,265
E09000017,Hillingdon,2013-14,126
E09000018,Hounslow,2013-14,278
E09000019,Islington,2013-14,336
E09000020,Kensington and Chelsea,2013-14,125
E09000021,Kingston upon Thames,2013-14,93
E09000022,Lambeth,2013-14,263
E09000023,Lewisham,2013-14,250
E09000024,Merton,2013-14,120
E09000025,Newham,2013-14,"1,360"
E09000026,Redbridge,2013-14,10
E09000027,Richmond upon Thames,2013-14,48
E09000028,Southwark,2013-14,565
E09000029,Sutton,2013-14,89
E09000030,Tower Hamlets,2013-14,897
E09000031,Waltham Forest,2013-14,195
E09000032,Wandsworth,2013-14,265
E09000033,Westminster,2013-14,108
E12000007,London,2013-14,"9,380"
E92000001,England,2013-14,"43,027"
E09000001,City of London,2014-15,40
E09000002,Barking and Dagenham,2014-15,"1,200"
E09000003,Barnet,2014-15,442
E09000004,Bexley,2014-15,394
E09000005,Brent,2014-15,"1,325"
E09000006,Bromley,2014-15,211
E09000007,Camden,2014-15,283
E09000008,Croydon,2014-15,976
E09000009,Ealing,2014-15,782
E09000010,Enfield,2014-15,539
E09000011,Greenwich,2014-15,945
E09000012,Hackney,2014-15,903
E09000013,Hammersmith and Fulham,2014-15,169
E09000014,Haringey,2014-15,424
E09000015,Harrow,2014-15,274
E09000016,Havering,2014-15,788
E09000017,Hillingdon,2014-15,292
E09000018,Hounslow,2014-15,733
E09000019,Islington,2014-15,129
E09000020,Kensington and Chelsea,2014-15,148
E09000021,Kingston upon Thames,2014-15,205
E09000022,Lambeth,2014-15,800
E09000023,Lewisham,2014-15,749
E09000024,Merton,2014-15,136
E09000025,Newham,2014-15,493
E09000026,Redbridge,2014-15,91
E09000027,Richmond upon Thames,2014-15,78
E09000028,Southwark,2014-15,"1,156"
E09000029,Sutton,2014-15,300
E09000030,Tower Hamlets,2014-15,"1,231"
E09000031,Waltham Forest,2014-15,"1,009"
E09000032,Wandsworth,2014-15,601
E09000033,Westminster,2014-15,350
E12000007,London,2014-15,"18,229"
E92000001,England,2014-15,"66,698"
E09000001,City of London,2015-16,0
E09000002,Barking and Dagenham,2015-16,318
E09000003,Barnet,2015-16,128
E09000004,Bexley,2015-16,197
E09000005,Brent,2015-16,208
E09000006,Bromley,2015-16,86
E09000007,Camden,2015-16,209
E09000008,Croydon,2015-16,273
E09000009,Ealing,2015-16,134
E09000010,Enfield,2015-16,64
E09000011,Greenwich,2015-16,641
E09000012,Hackney,2015-16,111
E09000013,Hammersmith and Fulham,2015-16,86
E09000014,Haringey,2015-16,13
E09000015,Harrow,2015-16,120
E09000016,Havering,2015-16,71
E09000017,Hillingdon,2015-16,95
E09000018,Hounslow,2015-16,89
E09000019,Islington,2015-16,438
E09000020,Kensington and Chelsea,2015-16,108
E09000021,Kingston upon Thames,2015-16,68
E09000022,Lambeth,2015-16,238
E09000023,Lewisham,2015-16,228
E09000024,Merton,2015-16,124
E09000025,Newham,2015-16,80
E09000026,Redbridge,2015-16,33
E09000027,Richmond upon Thames,2015-16,88
E09000028,Southwark,2015-16,343
E09000029,Sutton,2015-16,86
E09000030,Tower Hamlets,2015-16,355
E09000031,Waltham Forest,2015-16,229
E09000032,Wandsworth,2015-16,486
E09000033,Westminster,2015-16,41
E12000007,London,2015-16,"5,789"
E92000001,England,2015-16,"32,626"
E09000001,City of London,2016-17,0
E09000002,Barking and Dagenham,2016-17,59
E09000003,Barnet,2016-17,320
E09000004,Bexley,2016-17,69
E09000005,Brent,2016-17,226
E09000006,Bromley,2016-17,74
E09000007,Camden,2016-17,74
E09000008,Croydon,2016-17,186
E09000009,Ealing,2016-17,29
E09000010,Enfield,2016-17,370
E09000011,Greenwich,2016-17,474
E09000012,Hackney,2016-17,165
E09000013,Hammersmith and Fulham,2016-17,49
E09000014,Haringey,2016-17,186
E09000015,Harrow,2016-17,75
E09000016,Havering,2016-17,40
E09000017,Hillingdon,2016-17,121
E09000018,Hounslow,2016-17,286
E09000019,Islington,2016-17,191
E09000020,Kensington and Chelsea,2016-17,7
E09000021,Kingston upon Thames,2016-17,113
E09000022,Lambeth,2016-17,80
E09000023,Lewisham,2016-17,292
E09000024,Merton,2016-17,9
E09000025,Newham,2016-17,839
E09000026,Redbridge,2016-17,63
E09000027,Richmond upon Thames,2016-17,55
E09000028,Southwark,2016-17,387
E09000029,Sutton,2016-17,100
E09000030,Tower Hamlets,2016-17,"1,085"
E09000031,Waltham Forest,2016-17,113
E09000032,Wandsworth,2016-17,326
E09000033,Westminster,2016-17,299
E12000007,London,2016-17,"6,964"
E92000001,England,2016-17,"42,223"
E09000001,City of London,2017-18,19
E09000002,Barking and Dagenham,2017-18,320
E09000003,Barnet,2017-18,237
E09000004,Bexley,2017-18,136
E09000005,Brent,2017-18,128
E09000006,Bromley,2017-18,88
E09000007,Camden,2017-18,329
E09000008,Croydon,2017-18,155
E09000009,Ealing,2017-18,379
E09000010,Enfield,2017-18,205
E09000011,Greenwich,2017-18,315
E09000012,Hackney,2017-18,310
E09000013,Hammersmith and Fulham,2017-18,74
E09000014,Haringey,2017-18,163
E09000015,Harrow,2017-18,51
E09000016,Havering,2017-18,29
E09000017,Hillingdon,2017-18,62
E09000018,Hounslow,2017-18,319
E09000019,Islington,2017-18,73
E09000020,Kensington and Chelsea,2017-18,61
E09000021,Kingston upon Thames,2017-18,56
E09000022,Lambeth,2017-18,307
E09000023,Lewisham,2017-18,329
E09000024,Merton,2017-18,130
E09000025,Newham,2017-18,457
E09000026,Redbridge,2017-18,169
E09000027,Richmond upon Thames,2017-18,32
E09000028,Southwark,2017-18,418
E09000029,Sutton,2017-18,188
E09000030,Tower Hamlets,2017-18,850
E09000031,Waltham Forest,2017-18,412
E09000032,Wandsworth,2017-18,154
E09000033,Westminster,2017-18,180
E12000007,London,2017-18,"7,135"
E92000001,England,2017-18,"47,124"
E09000001,City of London,2018-19,0
E09000002,Barking and Dagenham,2018-19,275
E09000003,Barnet,2018-19,150
E09000004,Bexley,2018-19,163
E09000005,Brent,2018-19,436
E09000006,Bromley,2018-19,171
E09000007,Camden,2018-19,236
E09000008,Croydon,2018-19,427
E09000009,Ealing,2018-19,758
E09000010,Enfield,2018-19,110
E09000011,Greenwich,2018-19,303
E09000012,Hackney,2018-19,342
E09000013,Hammersmith and Fulham,2018-19,165
E09000014,Haringey,2018-19,94
E09000015,Harrow,2018-19,134
E09000016,Havering,2018-19,51
E09000017,Hillingdon,2018-19,216
E09000018,Hounslow,2018-19,494
E09000019,Islington,2018-19,438
E09000020,Kensington and Chelsea,2018-19,89
E09000021,Kingston upon Thames,2018-19,57
E09000022,Lambeth,2018-19,287
E09000023,Lewisham,2018-19,350
E09000024,Merton,2018-19,51
E09000025,Newham,2018-19,686
E09000026,Redbridge,2018-19,223
E09000027,Richmond upon Thames,2018-19,45
E09000028,Southwark,2018-19,607
E09000029,Sutton,2018-19,195
E09000030,Tower Hamlets,2018-19,614
E09000031,Waltham Forest,2018-19,268
E09000032,Wandsworth,2018-19,494
E09000033,Westminster,2018-19,276
E12000007,London,2018-19,9205
E92000001,England,2018-19,57485
